t,heat_flux
0.0399999991059,1.09232632894e-06
2.0399992466,4.27099366789e-05
4.03999757767,7.91431957623e-05
6.03999567032,0.000146276899613
8.03999423981,0.000280583335552
10.0399923325,0.00055407412583
12.0399904251,0.00111942470539
14.0399885178,0.00230388552882
16.0399875641,0.00481437146664
18.0400333405,0.0101899858564
20.0400791168,0.0217979531735
22.0401248932,0.0470311939716
24.0401706696,0.102109618485
26.0402164459,0.222316980362
28.0402622223,0.482862889767
30.0403079987,1.0381923914
32.0403518677,2.18816304207
34.040397644,4.47601032257
36.0404434204,8.78524303436
38.0404891968,16.162071228
40.0405349731,26.392375946
42.0405807495,31.0612792969
44.0406265259,20.6468925476
46.0406723022,13.2469463348
48.0407180786,11.3452682495
50.040763855,10.7746868134
52.0408096313,10.3809528351
54.0408554077,10.1620750427
56.0409011841,9.8990316391
58.0409469604,9.78859710693
60.0409927368,10.1643371582
62.0410385132,10.5054092407
64.0410842896,10.3276462555
66.0411300659,9.99310779572
68.0411758423,9.59274196625
70.0412216187,9.38554477692
72.041267395,10.0007696152
74.0413131714,10.5530910492
76.0413589478,10.5870904922
78.0414047241,10.5828342438
80.0414505005,10.8027954102
82.0414962769,10.9425516129
84.0415420532,11.2346954346
86.0415878296,11.6620149612
88.041633606,11.5504074097
90.0416793823,10.6388950348
92.0417251587,9.97432136536
94.0417709351,9.63265609741
96.0418167114,9.96043205261
98.0418624878,10.6158351898
100.041908264,10.8099918365
102.041954041,10.4251260757
104.041999817,10.1982593536
106.042045593,10.4085512161
108.04209137,11.0331478119
110.042137146,11.4553642273
112.042182922,11.4293365479
114.042228699,11.0620346069
116.042274475,10.8508834839
118.042320251,11.2924308777
120.042366028,12.0075721741
122.042411804,12.6940307617
124.042457581,12.8315830231
126.042503357,12.4741172791
128.042541504,11.6052694321
130.042205811,11.1605873108
132.041870117,11.1892728806
134.041534424,11.2631149292
136.04119873,11.086933136
138.040863037,10.8080615997
140.040527344,10.4658298492
142.04019165,10.4563970566
144.039855957,10.6105327606
146.039520264,10.5816040039
148.03918457,10.4486865997
150.038848877,10.4095859528
152.038513184,10.2298412323
154.03817749,10.0220508575
156.037841797,10.1714782715
158.037506104,10.630862236
160.03717041,10.9890222549
162.036834717,11.0219841003
164.036499023,11.0388717651
166.03616333,11.3441104889
168.035827637,11.6278915405
170.035491943,11.8494091034
172.03515625,12.073225975
174.034820557,11.9641819
176.034484863,11.872672081
178.03414917,11.9993600845
180.033813477,12.2988777161
182.033477783,12.9242095947
184.03314209,13.5381278992
186.032806396,13.5297145844
188.032470703,12.84034729
190.03213501,12.2908821106
192.031799316,12.4507627487
194.031463623,12.8613967896
196.03112793,12.9596414566
198.030792236,13.0930576324
200.030456543,12.9138717651
202.03012085,12.8490409851
204.029785156,12.5833568573
206.029449463,12.6495742798
208.02911377,12.5176467896
210.028778076,12.402048111
212.028442383,12.1135454178
214.028106689,12.2552070618
216.027770996,12.5880708694
218.027435303,12.6893415451
220.027099609,12.406961441
222.026763916,12.5046396255
224.026428223,12.3503541946
226.026092529,12.4948148727
228.025756836,12.819735527
230.025421143,12.9795541763
232.025085449,12.9148302078
234.024749756,13.0899181366
236.024414062,13.0497999191
238.024078369,12.8637981415
240.023742676,12.7077217102
242.023406982,12.4900150299
244.023071289,12.1374130249
246.022735596,11.9385623932
248.022399902,12.1187295914
249.982070923,12.1187295914
250.022064209,12.5741271973
252.022064209,12.922958374
254.022064209,13.211889267
256.022064209,13.4683332443
258.022064209,13.4675884247
260.022064209,13.4031829834
262.022064209,13.4255580902
264.022064209,13.5517883301
266.022064209,13.5421085358
268.022094727,13.4620056152
270.022155762,13.8824634552
272.022186279,14.1028757095
274.022247314,13.8734703064
276.022277832,13.5756034851
278.022338867,13.0310668945
280.022369385,12.7167596817
282.02243042,12.7805995941
284.022460938,12.9128875732
286.022521973,13.3671245575
288.02255249,13.6396799088
290.022613525,13.621544838
292.022644043,13.0710964203
294.022705078,12.9492387772
296.022735596,13.0970869064
298.022796631,13.2794408798
300.022827148,13.6854524612
302.022888184,13.783955574
304.022918701,13.9531707764
306.022979736,13.7243556976
308.023010254,13.3266716003
310.023071289,13.1948318481
312.023101807,13.0374603271
314.023162842,12.8668317795
316.023193359,12.7506761551
318.023254395,12.7822656631
320.023284912,12.9781780243
322.023345947,13.4068460464
324.023376465,13.824388504
326.0234375,13.806646347
328.023468018,13.2464284897
330.023529053,12.5793762207
332.02355957,12.3552246094
334.023620605,12.5162391663
336.023651123,12.6606721878
338.023712158,12.9343261719
340.023742676,13.3862915039
342.023803711,13.2658042908
344.023834229,13.0045843124
346.023895264,12.5200557709
348.023925781,12.0206546783
349.983978271,12.0206546783
350.023986816,11.8528757095
352.023986816,11.6745767593
354.023986816,11.6607341766
356.023986816,11.928981781
358.023986816,11.9297428131
360.023956299,11.9917392731
362.023956299,12.2081775665
364.023956299,12.0038347244
366.023956299,11.6436691284
368.024017334,11.138127327
370.024047852,10.5124454498
372.024108887,10.3572816849
374.024139404,10.3721237183
376.024200439,10.7325973511
378.024230957,11.1030826569
380.024291992,11.0981740952
382.02432251,11.0748653412
384.024383545,11.2163543701
386.024414062,11.5632944107
388.024475098,11.6955451965
390.024505615,11.7478504181
392.02456665,11.7412366867
394.024597168,11.6850242615
396.024658203,11.7574577332
398.024688721,12.0908193588
400.024749756,12.3993425369
402.024780273,12.5313835144
404.024841309,12.1260032654
406.024871826,12.0148563385
408.024932861,12.2544059753
410.024963379,12.6826286316
412.025024414,12.8695411682
414.025054932,12.8789243698
416.025115967,12.501499176
418.025146484,12.3047161102
420.02520752,12.04941082
422.025238037,12.0313568115
424.025299072,11.8882522583
426.02532959,12.2166500092
428.025390625,12.3263483047
430.025421143,12.2724533081
432.025482178,12.2932138443
434.025512695,12.6094007492
436.02557373,12.7676200867
438.025604248,13.0281934738
440.025665283,13.429271698
442.025695801,13.3967123032
444.025756836,13.3865509033
446.025787354,13.3929252625
448.025848389,13.2020998001
449.985900879,13.2020998001
450.025909424,13.0045728683
452.025909424,12.9137325287
454.025909424,12.9913721085
456.025909424,12.6564178467
458.025909424,12.2831096649
460.025878906,12.2113780975
462.025878906,12.3456068039
464.025878906,12.6687784195
466.025878906,12.8043498993
468.025939941,13.1639175415
470.025970459,13.3393955231
472.026031494,13.5271615982
474.026062012,13.2445421219
476.026123047,12.5701751709
478.026153564,12.2218580246
480.0262146,12.2452392578
482.026245117,12.1807804108
484.026306152,11.7659406662
486.02633667,11.6251659393
488.026397705,11.6053714752
490.026428223,11.8393650055
492.026489258,12.2645263672
494.026519775,12.4575710297
496.026580811,12.657207489
498.026611328,12.6122055054
500.026672363,12.6085042953
502.026702881,12.6430358887
504.026763916,13.0426654816
506.026794434,13.1341075897
508.026855469,13.1688690186
510.026885986,13.2023029327
512.026916504,13.2758731842
514.026977539,12.9580192566
516.027038574,12.8051891327
518.027099609,12.5961589813
520.027099609,12.2485399246
522.027160645,12.2138204575
524.02722168,12.3048410416
526.027282715,11.9708137512
528.027282715,11.7322511673
530.02734375,12.007522583
532.027404785,12.3133611679
534.02746582,12.4239177704
536.02746582,12.5482387543
538.027526855,12.5520935059
540.027587891,12.5510158539
542.027648926,12.5014944077
544.027648926,12.7853946686
546.027709961,12.8151512146
548.027770996,13.0438556671
550.027832031,13.3316707611
552.027832031,13.3592090607
554.027893066,13.4470472336
556.027954102,13.5056343079
558.028015137,13.2882261276
560.028015137,13.4249629974
562.028076172,13.4204263687
564.028137207,13.1268596649
566.028198242,12.8182048798
568.028198242,12.8925476074
570.028259277,13.2877902985
572.028320312,14.0562267303
574.028381348,14.3605556488
576.028381348,14.2880744934
578.028442383,13.8682794571
580.028076172,13.4165763855
582.027770996,13.0013027191
584.02746582,12.4112844467
586.027099609,12.0584697723
588.026733398,11.9936361313
590.026428223,12.1218032837
592.026123047,12.3248023987
594.025756836,12.5958948135
596.025390625,12.8494606018
598.025085449,13.3869915009
600.024780273,13.8544273376
602.024414062,13.7440834045
604.024047852,13.3315544128
606.023742676,13.0185604095
608.0234375,12.9343671799
610.023071289,12.9216499329
612.022705078,12.8382568359
614.022399902,12.8859062195
616.022094727,12.8644580841
618.021728516,13.0647850037
620.021362305,13.1230344772
622.021057129,13.0683298111
624.020751953,12.9480314255
626.020385742,12.8169994354
628.020019531,12.710401535
630.019714355,12.5517368317
632.01940918,12.3146972656
634.019042969,12.1051931381
636.018676758,12.0529508591
638.018371582,11.70515728
640.018066406,11.5139122009
642.017700195,11.5842552185
644.017333984,11.8566875458
646.017028809,12.1153717041
648.016723633,12.3199186325
650.016357422,12.5827703476
652.015991211,12.2317457199
654.015686035,11.8464345932
656.015380859,11.9887514114
658.015014648,12.311627388
