t,heat_flux
0.0500000007451,1.30492935568e-06
2.54999876022,4.82124742121e-05
5.05000114441,0.000103363730886
7.55001068115,0.000233980070334
10.0500202179,0.000556219078135
12.5500297546,0.0013684675796
15.0500392914,0.00345116853714
17.5500183105,0.00887185521424
20.0499801636,0.0231426171958
22.5499420166,0.0610241554677
25.0499038696,0.161896377802
27.5498657227,0.428492873907
30.0498275757,1.113468647
32.5497894287,2.76628351212
35.0497512817,6.37859630585
37.5497131348,13.312374115
40.0496749878,22.694229126
42.5496368408,23.7769203186
45.0495986938,15.0829105377
47.5495605469,11.6779899597
50.0495223999,10.7275543213
52.5494842529,10.3992586136
55.049446106,10.1548709869
57.549407959,10.3178215027
60.049369812,10.5409507751
62.549331665,10.8071594238
65.049369812,10.3635492325
67.5495223999,9.98082828522
70.0496749878,9.95133972168
72.5498275757,10.252407074
75.0499801636,10.5242376328
77.5501327515,10.5005092621
80.0502853394,10.6526088715
82.5504379272,10.9112215042
85.0505905151,11.4897422791
87.550743103,12.1179180145
90.0508956909,12.3964748383
92.5510482788,12.039732933
95.0512008667,12.087896347
97.5513534546,12.0384092331
100.051506042,11.8435611725
102.55165863,12.0813217163
105.051811218,12.6640176773
107.551963806,13.3086509705
110.052116394,13.7856731415
112.552268982,12.9213848114
115.05242157,12.2694559097
117.552574158,12.3786487579
120.052726746,12.5834560394
122.552879333,12.5559749603
125.053031921,12.6601696014
127.553184509,12.2997121811
130.053329468,12.1126966476
132.553482056,11.7796154022
135.053634644,11.4393844604
137.553787231,11.3188428879
140.053939819,11.0545158386
142.554092407,10.9084253311
145.054244995,10.9511165619
147.554397583,10.7347736359
150.054550171,10.8608522415
152.554702759,11.1964673996
155.054855347,11.3306865692
157.555007935,11.3414306641
160.055160522,10.9371109009
162.55531311,10.4991884232
165.055465698,10.3197021484
167.555618286,10.3783798218
170.055770874,10.8507299423
172.555923462,11.3473720551
175.05607605,11.5732297897
177.556228638,11.6121692657
180.056381226,11.7232036591
182.556533813,11.9523868561
185.056686401,12.3076076508
187.556838989,12.4265375137
190.056991577,12.1281032562
192.557144165,11.6769685745
195.057296753,11.5242786407
197.557449341,11.671043396
200.057601929,11.3793039322
202.557754517,11.3542556763
205.057907104,11.6285419464
207.558059692,11.8610839844
210.05821228,12.2402153015
212.558364868,12.4078950882
215.058517456,12.4560279846
217.558670044,12.5380039215
220.058822632,12.1125488281
222.55897522,11.7618522644
225.059127808,11.4153785706
227.559280396,11.5286560059
230.059432983,11.4637489319
232.559585571,11.3779258728
235.059738159,11.0538196564
237.559890747,10.9728431702
240.060043335,11.1646022797
242.560195923,11.033905983
245.060348511,11.1845340729
247.560501099,11.4149465561
250.010650635,11.4149465561
250.060653687,11.3393669128
252.560653687,11.5070819855
255.060653687,12.0394220352
257.560668945,12.621506691
260.060668945,12.5331611633
262.560668945,11.9367866516
265.060699463,11.869102478
267.560668945,11.9549598694
270.060638428,12.1876487732
272.56060791,12.0665073395
275.060546875,11.7420320511
