lambda,mean_abs_relative_error,holdout_mean_abs_relative_error,max_abs_relative_error,prediction_interval_coverage,promotion_eligible,transport_gate_passed,coverage_gate_passed,worst_case
0.0,0.7262743402319719,0.812814164570416,4.432494493194787,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.01,0.7249717577512941,0.8113882867923866,4.439735698644945,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.03,0.7224157421582612,0.8085921418402233,4.454022065775948,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.1,0.7139516776933005,0.7993499134499661,4.502053474265045,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.2,0.7047069295016373,0.7874392831372049,4.565764280573591,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.3,0.6972871490908844,0.7768078260967324,4.624316151099059,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.5,0.6894007646285855,0.7642731837107084,4.728202018029228,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
0.7,0.6952992317602226,0.7687073952908303,4.8174664154933255,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
1.0,0.703559152030962,0.7752836412535459,4.929892858244456,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
2.0,0.7301811787971301,0.7996569697632738,5.184797989837105,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
5.0,0.7885833362675632,0.8602976663865316,5.5055896281251515,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
10.0,0.8298877722418928,0.9054856873085623,5.662376076074539,0.9166666666666666,True,False,True,solovev_reference_repair_dt002_amp1em5_n48_t250
