case,label,split,geometry,geometry_group,observed_heat_flux,predicted_heat_flux,prediction_to_observed_ratio,signed_relative_error,absolute_relative_error,error_budget_fraction,above_transport_gate,prediction_interval_contains_observed
solovev_reference_repair_dt002_amp1em5_n48_t250,solovev reference repair dt002 amp1em5 n48 t250,holdout,solovev_external_vmec,external axisymmetric VMEC,1.4094473959257687,7.92717775302981,5.624316151099059,4.624316151099059,4.624316151099059,0.5526556451824511,True,False
shaped_tokamak_pressure_external_vmec_t650_high_grid_window,Shaped-pressure VMEC,holdout,shaped_tokamak_external_vmec,external axisymmetric VMEC,7.156474006536328,13.909684085123265,1.943650472623659,0.9436504726236591,0.9436504726236591,0.11277640709115559,True,True
itermodel_external_vmec_t350_window,ITERModel VMEC,train,itermodel_external_vmec,external axisymmetric VMEC,22.046746492385864,9.3721288558422,0.4251025818743364,-0.5748974181256636,0.5748974181256636,0.06870644072474405,True,True
circular_external_vmec_t450_window,Circular VMEC,holdout,circular_external_vmec,external axisymmetric VMEC,19.430008846324878,9.53751230731974,0.4908650522371599,-0.5091349477628401,0.5091349477628401,0.06084711638366926,True,True
cth_like_external_vmec_t700_high_grid_ensemble,CTH-like VMEC,holdout,cth_like_external_vmec,external stellarator VMEC,9.603187837312081,13.979625938560037,1.455727637050252,0.45572763705025215,0.45572763705025215,0.054464366849490055,True,True
w7x_nonlinear_window,W7-X,holdout,w7x,stellarator benchmark,5.378544112072135,3.55271544851817,0.6605347793920858,-0.33946522060791423,0.33946522060791423,0.04056975439870853,False,True
hsx_nonlinear_window,HSX,holdout,hsx,stellarator benchmark,5.089605487565396,3.629015864220202,0.713024982601576,-0.286975017398424,0.286975017398424,0.03429660910054283,False,True
qp_diag_nfp2_m4_final_t250,QP VMEC,holdout,qp_diag_nfp2_m4,other,16.395662425277063,12.351541412418156,0.753342017665348,-0.246657982334652,0.246657982334652,0.02947828866202419,False,True
dshape_external_vmec_t250_window,D-shaped VMEC,holdout,dshape_external_vmec,external axisymmetric VMEC,18.479456131274883,14.383376959500778,0.7783441708091265,-0.2216558291908735,0.2216558291908735,0.026490261757042506,False,True
cyclone_miller_long_window,Cyclone Miller,holdout,cyclone_miller,local axisymmetric,4.259822065746515,3.906978947116928,0.9171695171338683,-0.08283048286613175,0.08283048286613175,0.009899135883751433,False,True
updown_asym_external_vmec_t450_window,Up-down VMEC,holdout,updown_asym_external_vmec,external axisymmetric VMEC,7.76432224499282,7.316596329349746,0.9423354799664826,-0.057664520033517436,0.057664520033517436,0.0068915319545541365,False,True
cyclone_long_window,Cyclone,train,cyclone,local axisymmetric,6.6689961798985795,6.832187249994453,1.0244701099976272,0.024470109997627137,0.024470109997627137,0.0029244420118659143,False,True
