metric,passed,detail
dataset_sufficiency_passed,False,blockers=['downstream_candidate_skill_gates_not_passed']
candidate_uncertainty_passed,False,accepted=[]
required_candidate_accepted,False,required=spectral_envelope_ridge accepted=[]
required_candidate_eligible,True,eligibility_failures=[]
required_candidate_transport_error,False,mean_abs_relative_error=0.6972871490908844 gate=0.35
required_candidate_interval_coverage,True,coverage=0.9166666666666666 gate=0.75
required_candidate_beats_training_mean_null,True,candidate=0.6972871490908844 null=1.1705195192974545
required_candidate_beats_linear_weight,True,candidate=0.6972871490908844 linear_weight=1.3199083044798832
absolute_flux_not_promoted,True,promoted_reports=0
calibration_reports_have_holdout_metrics,True,missing_holdout_metrics=0
