case,label,geometry,split,observed_heat_flux,observed_heat_flux_std,positive_mixing_length_prediction,positive_mixing_length_relative_error,linear_weight_prediction,linear_weight_relative_error,spectral_envelope_ridge_prediction,spectral_envelope_ridge_relative_error,spectral_envelope_ridge_interval_low,spectral_envelope_ridge_interval_high,spectral_envelope_ridge_interval_contains_observed,stellarator_family
cyclone_long_window,Cyclone,cyclone,train,6.6689961798985795,0.6486446261822355,0.09860403153852253,0.9852145617003454,1.4235722857694018,0.786538746256854,8.908131109578791,0.33575291832214904,4.275011415294029,18.562476717968615,True,False
cyclone_miller_long_window,Cyclone Miller,cyclone_miller,holdout,4.259822065746515,4.2116774700305175,38.66542554443455,8.076770096888685,34.48532754257894,7.095485447591235,7.927663743608882,0.8610316631193831,3.856771572852582,16.295456250017597,True,False
hsx_nonlinear_window,HSX,hsx,holdout,5.089605487565396,6.284535110439706,0.0,1.0,22.798593132193474,3.4794421076237763,4.620541499375778,0.09216116835295096,2.200268314839702,9.703091029154393,True,True
w7x_nonlinear_window,W7-X,w7x,holdout,5.378544112072135,3.295746205851981,0.0,1.0,22.66604055540981,3.2141590889876523,4.497485795470389,0.16380981511785164,2.152301933398444,9.398020866207776,True,True
dshape_external_vmec_t250_window,D-shaped VMEC,dshape_external_vmec,holdout,18.479456131274883,2.1065149048808203,51.62028102494143,1.7933874600118,39.39772974947727,1.1319745272589499,15.38265873149652,0.16758054878775905,7.289676198941547,32.46045272683635,True,False
itermodel_external_vmec_t350_window,ITERModel VMEC,itermodel_external_vmec,train,22.046746492385864,3.434397669803179,22.076093494145443,0.001331126194502853,22.38039740781542,0.015133793802400076,10.781060016326835,0.5109908838453684,5.832029039599949,19.929814184123835,False,False
updown_asym_external_vmec_t450_window,Up-down VMEC,updown_asym_external_vmec,holdout,7.76432224499282,0.6236662752268785,2.5647830621740666,0.6696707090141597,15.567372457353509,1.0049879392103855,9.185529704823372,0.18304333784537127,4.363598660867212,19.335865306509245,True,False
circular_external_vmec_t450_window,Circular VMEC,circular_external_vmec,holdout,19.430008846324878,2.5120911781559006,22.242769248057787,0.14476372213618077,22.437751557737673,0.15479883386577564,10.979730891569584,0.43490860048443236,5.631595060269632,21.406810887698214,True,False
cth_like_external_vmec_t700_high_grid_ensemble,CTH-like VMEC,cth_like_external_vmec,holdout,9.603187837312081,0.4961796804978094,15.988970127845175,0.6649648427912522,19.085791542597864,0.9874433225644319,13.251213045243842,0.3798764816155922,6.466027986850007,27.156493527022818,True,False
shaped_tokamak_pressure_external_vmec_t650_high_grid_window,Shaped-pressure VMEC,shaped_tokamak_external_vmec,holdout,7.156474006536328,0.33116969837810245,107.32429891034684,13.996812510228187,49.04020998957541,5.852565934674645,15.268219729790209,1.133483572475085,8.614638645542692,27.0607443108218,False,False
qp_diag_nfp2_m4_final_t250,QP VMEC,qp_diag_nfp2_m4,holdout,16.395662425277063,0.47816980915084456,3.395187489170261,0.7929216032201342,14.016904156084081,0.1450846088124911,14.18875656469681,0.13460303117597028,6.731536793655537,29.907110222136996,True,False
