z,eigen_real,eigen_imag,eigen_abs
-9.424777984619140625e+00,-7.678225301788188517e-06,5.689765384886413813e-05,5.741339919040910900e-05
-9.228427886962890625e+00,-1.035198783938540146e-05,7.907843246357515454e-05,7.975313201313838363e-05
-9.032079696655273438e+00,-1.537473690405022353e-05,1.480040082242339849e-04,1.488004345446825027e-04
-8.835729598999023438e+00,-2.288181349285878241e-05,3.252172609791159630e-04,3.260212251916527748e-04
-8.639379501342773438e+00,-2.043441236310172826e-05,7.047492545098066330e-04,7.050454732961952686e-04
-8.443030357360839844e+00,2.270696677442174405e-05,1.480677747167646885e-03,1.480851788073778152e-03
-8.246681213378906250e+00,1.843312638811767101e-04,2.831578720360994339e-03,2.837572246789932251e-03
-8.050331115722656250e+00,6.097349105402827263e-04,4.793857689946889877e-03,4.832478240132331848e-03
-7.853982448577880859e+00,1.515976968221366405e-03,6.940532010048627853e-03,7.104166317731142044e-03
-7.657632350921630859e+00,3.113751532509922981e-03,8.686317130923271179e-03,9.227544069290161133e-03
-7.461282730102539062e+00,5.453280638903379440e-03,9.557984769344329834e-03,1.100424211472272873e-02
-7.264932632446289062e+00,8.791089989244937897e-03,1.014340296387672424e-02,1.342281233519315720e-02
-7.068583965301513672e+00,1.241612341254949570e-02,1.093948073685169220e-02,1.654788106679916382e-02
-6.872234344482421875e+00,1.475765742361545563e-02,1.076996605843305588e-02,1.826966367661952972e-02
-6.675884246826171875e+00,1.713673956692218781e-02,1.034965645521879196e-02,2.001957036554813385e-02
-6.479535102844238281e+00,1.971601322293281555e-02,9.722824208438396454e-03,2.198304980993270874e-02
-6.283185005187988281e+00,2.251114323735237122e-02,9.131351485848426819e-03,2.429265715181827545e-02
-6.086835384368896484e+00,2.546383626759052277e-02,8.538316935300827026e-03,2.685721218585968018e-02
-5.890485763549804688e+00,2.866270206868648529e-02,8.149283006787300110e-03,2.979867905378341675e-02
-5.694136619567871094e+00,3.250971809029579163e-02,8.017521351575851440e-03,3.348376601934432983e-02
-5.497786521911621094e+00,3.781823441386222839e-02,8.044445887207984924e-03,3.866434842348098755e-02
-5.301437377929687500e+00,4.515643417835235596e-02,7.137266919016838074e-03,4.571700096130371094e-02
-5.105087280273437500e+00,5.327654257416725159e-02,4.115381278097629547e-03,5.343525484204292297e-02
