z,eigen_real,eigen_imag,eigen_abs
-3.1415927410125732,-9.267242009623065e-07,-5.702269829397825e-07,1.0881068682449498e-06
-3.117048978805542,8.733450954816008e-07,-1.1014278610299294e-06,1.4056582048473702e-06
-3.0925052165985107,-4.369112737880478e-07,9.314085890265261e-07,1.0287922146261987e-06
-3.0679616928100586,1.0768839823767822e-06,5.771034333166111e-07,1.2217722718434472e-06
-3.0434179306030273,-1.2308136767798437e-06,-1.1311687601279056e-06,1.6716593764393573e-06
-3.018874168395996,1.2843939092200953e-06,1.407680534222659e-06,1.9055792296493655e-06
-2.994330406188965,-1.74469361401548e-06,-1.6288113755915213e-06,2.386835206720971e-06
-2.9697868824005127,1.1285210691809717e-06,9.421715926877007e-07,1.470118061127419e-06
-2.9452431201934814,-1.5417953045062376e-07,3.784672493433636e-07,4.0866708508944857e-07
-2.92069935798645,1.0476208246226851e-07,-1.9453867561118886e-07,2.2095336664189238e-07
-2.896155834197998,-6.634171674385777e-07,-1.9288613186957662e-08,6.636975129160135e-07
-2.871612071990967,7.01130090732611e-07,4.0191276074506615e-07,8.081567121421687e-07
-2.8470683097839355,-5.62088159380977e-07,-1.239389043095335e-06,1.3608924641796885e-06
-2.8225245475769043,1.2065732929766655e-06,2.409197364253826e-06,2.694448190493211e-06
-2.797981023788452,-1.264241851223928e-06,-2.5378840884388907e-06,2.835341796809937e-06
-2.773437261581421,2.452422036736867e-06,2.034725125944713e-06,3.1866095123851195e-06
-2.7488934993743896,-3.849630776011976e-06,-1.6511487229298235e-06,4.188788514218802e-06
-2.7243499755859375,2.2374992792073183e-06,4.9915631360276e-07,2.29250082875945e-06
-2.6998062133789062,-3.7796101196603175e-07,4.466611067599155e-07,5.851159465083647e-07
-2.675262451171875,-2.0359649500121347e-07,4.783353225562527e-08,2.091400955934301e-07
-2.6507186889648438,-2.425571146718254e-07,-3.995311648879878e-07,4.6739609069254475e-07
-2.6261751651763916,4.977527692497278e-07,8.825153770661649e-07,1.0132083744492087e-06
-2.6016314029693604,-1.0282786666933237e-06,-1.8001597192240741e-06,2.0731454437866864e-06
-2.577087640762329,2.333556705907582e-06,1.6230299469517855e-06,2.8424836162040695e-06
