case,label,backend,status,returncode,runtime_s,warmup_time_s,run_time_s,peak_rss_mb,host,cwd,command,stdout_log,stderr_log
cyclone-linear,Cyclone ITG Linear,spectrax_cpu,success,0,39.57508916700317,,,1146.94921875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/linear/axisymmetric/cyclone_runtime_linear.py --ky 0.3 --Nl 24 --Nm 12 --solver auto,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__spectrax_cpu.stderr.log
cyclone-linear,Cyclone ITG Linear,spectrax_gpu,success,0,24.22220475001086,,,1532.51171875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/linear/axisymmetric/cyclone_runtime_linear.py --ky 0.3 --Nl 24 --Nm 12 --solver auto,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__spectrax_gpu.stderr.log
cyclone-linear,Cyclone ITG Linear,gx,success,0,981.7013250420132,,,1974.44921875,office,/home/rjorge/GX/benchmarks/linear/ITG_cyclone,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('itg_salpha_adiabatic_electrons.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 10.0', text)
p.write_text(text)
PY
CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx itg_salpha_adiabatic_electrons.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-linear__gx.stderr.log
cyclone-nonlinear,Cyclone ITG Nonlinear,spectrax_cpu,success,0,125.40905087499414,,,4164.22265625,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/nonlinear/axisymmetric/cyclone_runtime_nonlinear.py --ky 0.3 --Nl 4 --Nm 8 --steps 200 --dt 0.0377,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__spectrax_cpu.stderr.log
cyclone-nonlinear,Cyclone ITG Nonlinear,spectrax_gpu,success,0,35.32924887500121,,,1878.44921875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/nonlinear/axisymmetric/cyclone_runtime_nonlinear.py --ky 0.3 --Nl 4 --Nm 8 --steps 200 --dt 0.0377,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__spectrax_gpu.stderr.log
cyclone-nonlinear,Cyclone ITG Nonlinear,gx,success,0,21.14968758399482,,,1990.48046875,office,/home/rjorge/GX/benchmarks/nonlinear/cyclone,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && python3 - <<'PY'
from pathlib import Path
import re
p = Path('cyclone_salpha_adiabatic_electrons.in')
text = p.read_text()
text = re.sub(r'(?m)^\s*t_max\s*=.*$', ' t_max = 7.54', text)
p.write_text(text)
PY
CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx cyclone_salpha_adiabatic_electrons.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/cyclone-nonlinear__gx.stderr.log
etg-linear,ETG Linear,spectrax_cpu,success,0,59.107651541009545,,,1215.24609375,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/linear/axisymmetric/etg_runtime_linear.py --ky 15.0 --Nl 24 --Nm 8 --solver krylov,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__spectrax_cpu.stderr.log
etg-linear,ETG Linear,spectrax_gpu,success,0,19.58458608300134,,,1574.12109375,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src CUDA_VISIBLE_DEVICES=0 JAX_PLATFORM_NAME=gpu python examples/linear/axisymmetric/etg_runtime_linear.py --ky 15.0 --Nl 24 --Nm 8 --solver krylov,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__spectrax_gpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__spectrax_gpu.stderr.log
etg-linear,ETG Linear,gx,success,0,22.16217208300077,,,1951.48046875,office,/home/rjorge/GX/benchmarks/linear,"tmpdir=$(mktemp -d) && trap 'rm -rf ""$tmpdir""' EXIT && for f in *; do case ""$f"" in *.out.nc|*.restart.nc|*.big.nc|*.bin|rhs_terms_shape.txt) ;; *) ln -s ""$(pwd)/$f"" ""$tmpdir/$f"" ;; esac; done && cd ""$tmpdir"" && CUDA_VISIBLE_DEVICES=0 env -u DISPLAY HDF5_DISABLE_VERSION_CHECK=1 LD_LIBRARY_PATH=/home/rjorge/local/install/libcutensor-1.7.0.1/lib/11.0:/home/rjorge/local/install/nccl-2.18.1/lib:/home/rjorge/local/install/hdf5-1.14.5/lib:/home/rjorge/miniforge3/envs/qh-gpu/lib:/home/rjorge/local/install/gsl-2.7.1/lib:/usr/lib/x86_64-linux-gnu:$LD_LIBRARY_PATH /home/rjorge/GX/gx ETG_runtime_ky15.in",/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__gx.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/etg-linear__gx.stderr.log
kbm-linear,KBM Linear,spectrax_cpu,success,0,12.059763874989585,,,1171.4921875,office,/tmp/spectrax_perf_live,PATH=/home/rjorge/spectrax_env/bin:/opt/local/bin:/opt/local/sbin:/usr/local/bin:/System/Cryptexes/App/usr/bin:/usr/bin:/bin:/usr/sbin:/sbin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/local/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/bin:/var/run/com.apple.security.cryptexd/codex.system/bootstrap/usr/appleinternal/bin:/opt/X11/bin:/Library/Apple/usr/bin:/Library/TeX/texbin:/opt/homebrew/bin:/Users/rogeriojorge/.codex/tmp/arg0/codex-arg0Mm6cge:/opt/local/bin:/Users/rogeriojorge/Library/Python/3.11/bin:/opt/local/sbin:/opt/local/Library/Frameworks/Python.framework/Versions/3.11/bin:/Users/rogeriojorge/local/netcdf-fortran/build/bin:/Users/rogeriojorge/.lmstudio/bin:/Applications/Codex.app/Contents/Resources PYTHONPATH=src JAX_PLATFORM_NAME=cpu python examples/linear/axisymmetric/kbm_runtime_linear.py --ky 0.3 --Nl 48 --Nm 16 --solver krylov,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__spectrax_cpu.stdout.log,/Users/rogeriojorge/local/SPECTRAX-GK/tools_out/runtime_memory_logs_final/kbm-linear__spectrax_cpu.stderr.log
