objective,parameter,implicit,finite_difference,abs_error,rel_error,passed
gamma,bmag_ripple,0.2064741551876068,0.20648537576198578,1.1220574378967285e-05,5.434077032119292e-05,True
gamma,curvature_drift_scale,0.7360637784004211,0.736057698726654,6.079673767089844e-06,8.259778788547963e-06,True
omega,bmag_ripple,0.40875867009162903,0.4087984263896942,3.975629806518555e-05,9.725159271353741e-05,True
omega,curvature_drift_scale,-1.8765044212341309,-1.8765031099319458,1.3113021850585938e-06,6.988009655396468e-07,True
kperp_eff2,bmag_ripple,-0.4511536657810211,-0.4511624276638031,8.761882781982422e-06,1.9420683649019628e-05,True
kperp_eff2,curvature_drift_scale,2.647782615383676e-08,7.450580142176477e-06,7.4241023160226405e-06,0.0037120511580113202,True
linear_heat_flux_weight,bmag_ripple,0.7933515310287476,0.7928013205528259,0.0005502104759216309,0.0006940080215027457,True
linear_heat_flux_weight,curvature_drift_scale,-4.333962440490723,-4.333436489105225,0.0005259513854980469,0.00012137050740684703,True
linear_particle_flux_weight,bmag_ripple,0.0,0.0,0.0,0.0,True
linear_particle_flux_weight,curvature_drift_scale,0.0,0.0,0.0,0.0,True
mixing_length_heat_flux_proxy,bmag_ripple,6.0615434646606445,6.061076641082764,0.0004668235778808594,7.701991007945166e-05,True
mixing_length_heat_flux_proxy,curvature_drift_scale,0.13422799110412598,0.1348257064819336,0.0005977153778076172,0.004433244916003536,True
