step,objective,gradient_norm,minor_radius_log_shift,vertical_elongation_shift,helical_ripple_amplitude,magnetic_shear_shift,aspect,mean_iota,qa_residual,kperp_eff2,growth_rate,frequency,linear_heat_flux_weight,quasilinear_heat_flux,nonlinear_heat_flux_mean,nonlinear_heat_flux_cv,nonlinear_heat_flux_trend
0,0.18872394195830772,0.7645720299632096,0.28,0.46,0.42,-0.32,6.2472673807196,0.34487999999999996,0.07590207272532153,0.43797941922912076,0.049874509778467246,-0.19254959999999996,0.6362226136706033,0.05433695552860589,0.020419528068590303,0.0003378994988553516,0.0011139681812757573
1,0.14566634104678897,0.6443750277611092,0.23500001723957772,0.5049999874431693,0.37500000174666903,-0.2750000006263123,6.390035123938468,0.35558999960257764,0.0678249370193898,0.4327398122355505,0.04570277629757833,-0.1909727999680508,0.6195215780630766,0.04907196303617588,0.01857714250560922,0.0005966819464815607,0.0019796206945199117
2,0.11012370343679989,0.5265269188068205,0.19042598643459524,0.5492630813926708,0.3302551754736572,-0.23035716244692045,6.5372406218066645,0.3662112193359434,0.059784339410875735,0.42773482204580665,0.04222368178960086,-0.18940233963763364,0.6035363042998964,0.04468339415180021,0.017042334930753564,0.000953877695771668,0.003180543358793013
3,0.08205154470907644,0.4120774811621065,0.1467985268045837,0.5918872462704418,0.28599710881306406,-0.18642092247115713,6.686880233133438,0.37665408189895616,0.0518196802492232,0.4229500819235543,0.039349312770046316,-0.1878424673165536,0.5881765493873057,0.04104091238247629,0.01576991955881611,0.001399349215859764,0.004684209119241274
4,0.06123464749103086,0.30235928716561833,0.10493916619679264,0.6314416523687512,0.24251492723514842,-0.14365135527407247,6.835359528901514,0.38679674442350925,0.04398094315251679,0.4183381266193972,0.036986595581456595,-0.18629642635812207,0.573219493170871,0.03801010992826778,0.014711834256729155,0.0019105336085474016,0.0064150512057382526
5,0.04721424574351418,0.1992983554785887,0.06608076058636035,0.6658242110965318,0.20016330647524078,-0.10263789233133451,6.976822873928534,0.3964787370625268,0.03633064240136017,0.4138067491271109,0.03504473649495688,-0.1847658286674672,0.5582595897993503,0.03545868982605339,0.013818856465971509,0.0024604854822624783,0.008281708522257734
6,0.03921812771634398,0.10674133732207593,0.03187822934745582,0.6924480370773226,0.15936586891477117,-0.06410403615868648,7.103023529464254,0.4055033217297982,0.028945397407908764,0.4092421457130112,0.03344927776402958,-0.18325222248196174,0.5427610788774916,0.03327180425524116,0.013046460675287077,0.0030219229433460473,0.010191032062467135
7,0.03616723897627194,0.04821976304547719,0.004131449333043012,0.7090566929536353,0.12060871138591475,-0.02888560071139918,7.204798971128847,0.4136564949964221,0.02191584492644631,0.4046505767326747,0.03218115723491161,-0.18176282397488938,0.5268278407299664,0.03142327705638055,0.012373043940389754,0.0035521731131605934,0.011997020978807761
8,0.036978898620429954,0.11038527044133022,-0.015819129706833194,0.7147466373403651,0.08441729783220506,0.0020947258618694183,7.275232557823406,0.4207309184509156,0.015342462408117912,0.400891514723562,0.0315001455512968,-0.1803172388242655,0.5114320009436297,0.030139417793160716,0.011882064370748494,0.003871690766489608,0.01308635733468755
9,0.04037679740446072,0.18482702742160798,-0.027611914731938487,0.710066366199634,0.05130268169883305,0.027547829886632926,7.31212523421559,0.42647620181908863,0.009324230391906742,0.39898689599816706,0.031641713516129745,-0.17894932075066775,0.49752592619034486,0.029592274172271928,0.011648711897831992,0.0038031435512690323,0.012852594965230429
10,0.04413052617012147,0.23010409550902053,-0.03185292424125775,0.6964440168038535,0.02168766769377882,0.04664365545767325,7.317895413197377,0.43074765680861393,0.003944485910693498,0.3969908584538835,0.03179811056490846,-0.17769203191464727,0.48309286116400413,0.029021021300536014,0.011396678724496324,0.003728730341084948,0.012598866620595332
