step,objective,gradient_norm,minor_radius_log_shift,vertical_elongation_shift,helical_ripple_amplitude,magnetic_shear_shift,aspect,mean_iota,qa_residual,kperp_eff2,growth_rate,frequency,linear_heat_flux_weight,quasilinear_heat_flux,nonlinear_heat_flux_mean,nonlinear_heat_flux_cv,nonlinear_heat_flux_trend
0,0.15939513648783793,0.7078526339068333,0.28,0.46,0.42,-0.32,6.2472673807196,0.34487999999999996,0.07590207272532153,0.43797941922912076,0.049874509778467246,-0.19254959999999996,0.6362226136706033,0.05433695552860589,0.020545704307997417,0.0003378994988553621,0.0011139681812757575
1,0.1358999484016549,0.6453955869455938,0.2550000101725833,0.4849999944511821,0.39500000098331234,-0.29500000037958074,6.325852251675939,0.35082999979850155,0.0714157456421873,0.4350408269581719,0.047468248731646845,-0.19167359999378197,0.6268562075570334,0.05129823088217025,0.019466330723871158,0.0004694026302458005,0.0015532415205434503
2,0.11460182842414518,0.583371231701232,0.23009153615698677,0.5098769309623619,0.37006008536229207,-0.27008475023381096,6.405949588832681,0.35675987965202965,0.06693768188339443,0.43217724137293506,0.045288356145550816,-0.19079948081619857,0.6177226756644753,0.04854890862450785,0.01848969886038474,0.000631144019067339,0.002095232259205151
3,0.09552461082206433,0.521966598057386,0.20536007289950609,0.5345202319009683,0.3452271643760427,-0.24532424130803923,6.4872791630714595,0.3626529433944087,0.062475942854286017,0.429391709655014,0.04332237598731778,-0.18992864034029708,0.6088250382863395,0.04606938133538663,0.017609060537595925,0.0008229944694835336,0.0027398906979627037
4,0.07867696117955568,0.46139763360785346,0.18091618611143023,0.5587905997724417,0.32055386380659706,-0.22080042365235653,6.569443730947976,0.3684895343877583,0.058039631447971037,0.42668615623584677,0.04155660501535613,-0.18906256644286742,0.6001606285415447,0.04383896305558214,0.016817218089830315,0.0010430045070733485,0.003480944796559149
5,0.06404875748558189,0.4019176180571054,0.1569022438375759,0.5825129372649556,0.2960989485747412,-0.1966087119940517,6.651894542942022,0.3742466091346571,0.05363898027309139,0.42406087181716906,0.039976481109564456,-0.18820281260188398,0.5917189284490023,0.04183628248454367,0.016106641996357984,0.0012875922766482145,0.004306499661655193
6,0.051606874930472925,0.343828525971883,0.13349989197683076,0.6054688052417951,0.2719276703238676,-0.17285936242197295,6.733891840840459,0.37989732952446137,0.04928543061129139,0.421513925072254,0.03856695468377256,-0.18735096618282537,0.5834790917290208,0.04003962328015241,0.015469564274564999,0.0015519436830218611,0.00520037513769369
7,0.04129051869712979,0.287497941277623,0.11093712997600794,0.6273897315367398,0.24811197740143193,-0.14967849283359724,6.814465138439514,0.38541074220723487,0.04499169290110081,0.41904059527820003,0.03731285315269365,-0.18650861506512684,0.5754075139558912,0.03842723648935268,0.014898061829279961,0.001830530604172423,0.006143862820075202
8,0.0330064867759245,0.2333889103795404,0.08949261156696756,0.6479538611930101,0.22473050870571026,-0.12720842591071768,6.892383897028292,0.39075165331726647,0.040771776235209056,0.41663304413604146,0.03619927311580152,-0.18567732561697348,0.5674562261618751,0.036977689122136254,0.014384161114925334,0.0021176286770451676,0.0071174966717539884
9,0.026625106012861416,0.18212538543350215,0.06949324010716991,0.6667898151633581,0.20186827635707616,-0.10560694550198055,6.966156927366872,0.39588084873685186,0.03664097019822824,0.4142806210456861,0.035212064805919464,-0.18485865400072446,0.5595634438933615,0.03567035829420985,0.013920014885166079,0.002407709549228474,0.008102406116878864
