step,objective,gradient_norm,minor_radius_log_shift,vertical_elongation_shift,helical_ripple_amplitude,magnetic_shear_shift,aspect,mean_iota,qa_residual,kperp_eff2,growth_rate,frequency,linear_heat_flux_weight,quasilinear_heat_flux,nonlinear_heat_flux_mean,nonlinear_heat_flux_cv,nonlinear_heat_flux_trend
0,0.19318638770844643,0.7825352684001848,0.28,0.46,0.42,-0.32,6.2472673807196,0.34487999999999996,0.07590207272532153,0.43797941922912076,0.049874509778467246,-0.19254959999999996,0.6362226136706033,0.05433695552860589,0.020419528068590303,0.0003378994988553516,0.0011139681812757573
1,0.16291924839290525,0.7003703698663111,0.2500000122142862,0.4899999883019912,0.39000000104312094,-0.29000000041270996,6.341787333633552,0.3520199996797273,0.07051819663544333,0.43446141454102893,0.04701393388250167,-0.19149839994956977,0.6250093536811641,0.05072512905597124,0.01915553844360666,0.000499350616674291,0.001653471386510637
2,0.1360850648496254,0.6194825849359528,0.22015681653556518,0.5195825653315975,0.3600902795136885,-0.26013070499039675,6.438320827674327,0.3591249438423827,0.06514650882880799,0.43103913959361617,0.04447050889702231,-0.19044830244105243,0.6140878538527106,0.047516797536165244,0.018032631700082888,0.0007049618567446319,0.0023430775621316735
3,0.11268629873859858,0.5402249987728678,0.19062760216362,0.5482622326142748,0.3303421846431648,-0.2305033691799872,6.536194116557732,0.3661628145035644,0.05979886226435163,0.42769656778323967,0.04221591007748678,-0.18939908362663832,0.6033909071136365,0.044668401961303984,0.01703529541659349,0.0009548720913635802,0.0031838935529245244
4,0.09268789892181992,0.4630063252978659,0.16162626042458839,0.5752997273501038,0.30083637489742754,-0.20125084836237683,6.634347655286515,0.3730926426565275,0.05448866811444899,0.42439948324510635,0.0402173837953679,-0.18834912313873967,0.5927860238647283,0.04213065278968997,0.01614540566597754,0.0012470033972526834,0.004169392332002524
5,0.07600472066895224,0.3883238911229174,0.13343945325440126,0.5996275789765365,0.2716634795587897,-0.17253022494251993,6.7312001260276295,0.37986264929573516,0.04923108535592994,0.4210884747968222,0.03843890443995211,-0.1872948895291811,0.5820509853925772,0.03984923040961975,0.015342305456867288,0.0015784010357023479,0.005289917353160243
6,0.06248754424489887,0.3168020894929174,0.10643993582295042,0.6198743840953365,0.24292453858297974,-0.14452464769166143,6.824569006858651,0.386410319694811,0.04404334906159654,0.4176790869886442,0.03684454509316621,-0.18623115680030422,0.5708735772736413,0.03776866842676213,0.01460425983859705,0.0019464045550754564,0.006536676389402101
7,0.051914503591654546,0.249236843876681,0.0810879950653493,0.6346218619398554,0.2147310041091076,-0.11744354042488071,6.911782258612596,0.3926669907109168,0.038945260881310305,0.4140812118058923,0.03540528624564426,-0.18515294992173414,0.5589161217972222,0.03584185550202939,0.013912469471405179,0.0023481069957061312,0.007899950954535485
8,0.04399682036240406,0.1866917022636658,0.057908586261692936,0.6428820888163702,0.1872040120369742,-0.09152025446142009,6.990058398945195,0.39856690888991564,0.03395956663711427,0.4102396379404509,0.0341066016287998,-0.1840591051769562,0.5459504818598743,0.03404202179364172,0.013256447106387414,0.0027773211577640207,0.009358794665203026
9,0.03839857819988682,0.13088052690440033,0.037436149380273925,0.6444586218199582,0.1604726426236541,-0.06700657729495837,7.056994328677758,0.4040548262280075,0.029111669694150872,0.4061707062653096,0.032950147296112405,-0.18295488789037384,0.5319763316337512,0.032366991664450465,0.012636247918591213,0.0032210756196626405,0.010869047338618822
10,0.034759779391981126,0.08584040325127185,0.02013421725641149,0.6398781679681209,0.13467103327518054,-0.04416441470855344,7.110897751563311,0.4090864372305456,0.024428514170221086,0.4019712120255855,0.03194905713723799,-0.1818512974579821,0.5172313745571363,0.030832533981027234,0.012059706948561979,0.003658199162640058,0.012358412674448961
11,0.03274701715319816,0.06418751458847585,0.006314932965485447,0.6300349825973041,0.10993434908174107,-0.02325720316987332,7.150908962437516,0.4136237306120233,0.01993712272396352,0.39783106527482803,0.03113079253739472,-0.1807621608510167,0.5025838587295525,0.029495875016593922,0.011540710076089573,0.0040559739167536565,0.013714970174528997
12,0.032027157365751555,0.08459288078590795,-0.003910116247071297,0.615850380088621,0.08639758623840824,-0.004566823480285878,7.176983796334168,0.41762568279318857,0.015663948264375418,0.3941601566943184,0.030576080185597217,-0.1797016922670933,0.4883713987292666,0.028413227708880648,0.011109728338901297,0.00434805373685402,0.014711754816630517
13,0.03228857574664284,0.12469893089204066,-0.010631841720471404,0.5981553546285087,0.06417909140596031,0.011588280482661941,7.189820281396156,0.42104319693284015,0.01163183023665616,0.3914483796209471,0.030368811949132712,-0.1786832565816215,0.4752926213399288,0.0276551257900077,0.010794915835449666,0.004462084662169628,0.015101056178268847
14,0.0329912645562197,0.15434999437973562,-0.014106225306481835,0.5776173711416696,0.043376160024592644,0.02492284441813342,7.190669723771068,0.4238311683192576,0.00785934497254236,0.3892400969588767,0.030315357486602176,-0.17771796189756286,0.4629433681051053,0.02704171630146956,0.010531835859186444,0.004491936626058017,0.0152029838166444
15,0.03370083577329894,0.17523260779615346,-0.014704929208790258,0.5547821704190631,0.024065335313439552,0.035358315850223934,7.181164609512506,0.4259821990196825,0.004361479528411658,0.3870752953568589,0.03025573871826543,-0.17681321525085128,0.4508897474891101,0.026432846311332265,0.010271076137463484,0.004525447747475319,0.015317411792951542
16,0.03417944998057504,0.18949746509469284,-0.012867730169241262,0.5300964815355188,0.006303650578048523,0.0429409821511994,7.163141089631601,0.42751141375902574,0.001158069506977183,0.3848597647856495,0.030152835584840363,-0.17597376966119502,0.4391474738276346,0.025804610121814685,0.010005046968665375,0.004583829773174861,0.015516780578519159
17,0.03479163942355764,0.2061942402895912,-0.009065495337427728,0.5039256267716664,-0.00986532266046792,0.047795085311765205,7.138498275451236,0.4284476871709394,0.0017954365128255555,0.3840811004960745,0.030114424143018396,-0.17520253141401462,0.4363063865332067,0.02565691639747125,0.009924845956811992,0.004605799247954511,0.015591809340178262
18,0.035141341799301604,0.21060547291356627,-0.0037715917332664254,0.47656690579028055,-0.02314749603742619,0.05009453427091255,7.109071078820148,0.42879059069682124,0.0041891769501840835,0.38388575349364007,0.030076706782419856,-0.17454190268659858,0.4374562863433835,0.025705390864474133,0.009921830747008767,0.004627465776474654,0.015665806260990726
19,0.034909544462096403,0.2091860066488923,0.0025480280874750462,0.44827745079333947,-0.033681640965350264,0.05005613083300163,7.076612312993452,0.4285901082015109,0.006088968722125412,0.3833579648914322,0.02997638863238822,-0.17398711982622367,0.43729078953397277,0.025645219063362708,0.00988003795800647,0.004685548981111998,0.015864189177428163
20,0.034158327550988174,0.2025943985200073,0.009440581546638526,0.4192929653905583,-0.041641276927925734,0.04792982578746744,7.0427949067180675,0.4279031785844866,0.00752295867914537,0.3825418587872505,0.029825316110018867,-0.17353179322285564,0.43596800114296935,0.025493060071578286,0.00980598419038179,0.00477428040970409,0.01616728820877563
21,0.03299326784979527,0.19149809183499691,0.01647486118696964,0.3898373069504945,-0.04722444316257764,0.04398663799323434,7.009181692332099,0.4267912660387007,0.008527131779364157,0.3814861200938346,0.029637097815326606,-0.1731684343745472,0.433659757060505,0.025267793429964703,0.00970688220273676,0.004886980212218482,0.01655232477673836
22,0.03154409983280636,0.1765683389230039,0.023250816191219284,0.3601296501545077,-0.05064607605782792,0.0385095384143605,6.977193686633287,0.4253185282832444,0.009140805620353576,0.3802420808748864,0.02942574636613779,-0.17288884999906795,0.4305411880546028,0.02498867781293571,0.009589960968110958,0.005016424491096801,0.016994654125299245
23,0.029948467271359493,0.1584444322891156,0.029410853291724725,0.33038950484187385,-0.05213114540309562,0.03178720522581683,6.948075171690294,0.42355051444215175,0.009405076463481076,0.3788646864903838,0.02920507445701301,-0.17268446605224094,0.42678907951039485,0.024674522241711013,0.009462159678684617,0.005154905062192891,0.01746796025577081
24,0.02833927065312963,0.137675657562844,0.03465196175908944,0.3008398766913542,-0.05190878210379729,0.024110366852065385,6.922858336614112,0.4215533509454507,0.009361689936254025,0.37741655460409185,0.028989003384741835,-0.17254657918573255,0.4225846772716803,0.02434374265714038,0.009330134729806447,0.005293857003547364,0.01794297679884813
25,0.026836179612917257,0.11464082509740135,0.038736806444532174,0.27170869014689053,-0.050207425051813456,0.015770755839556755,6.902332887160345,0.4193934227837142,0.009052150125163324,0.37597804470906626,0.02879327466336155,-0.17246653541626825,0.4181243680340557,0.024015703725928348,0.009200708505142725,0.005422649751274709,0.018383349777308423
26,0.02554104612475426,0.08970258786674529,0.041501720693561096,0.24322836263406017,-0.047250795952238064,0.007063503348942027,6.88702629076316,0.4171377000422792,0.008516998512074783,0.3746638948901743,0.02863847858180037,-0.17243583289850176,0.4136389337166513,0.02371323319127566,0.009081712666981637,0.005526508361243296,0.018738525957325718
27,0.024530447584742786,0.064735960192819,0.04286010890866158,0.21563322873634988,-0.04325437085555346,-0.001707320237330178,6.877198336423618,0.41485463839782816,0.007795193617656853,0.37361062254650224,0.028547256441353783,-0.1724461602599476,0.4093766018123069,0.023460077406333595,0.008981119430279625,0.005588550667918223,0.01895072314443426
