ky_index,reduced_real,reference_real,abs_error,rel_error
0,86016.0,86016.0,0.0,0.0
1,87552.0,87552.0,0.0,0.0
2,89088.0,89088.0,0.0001220703125,1.369947710827546e-09
3,90624.0,90624.0,0.0001220703125,1.3467282844459305e-09
4,92160.0,92160.0,0.0,0.0
5,93696.0,93696.0,0.0,0.0
6,95232.0,95232.0,0.0,0.0
7,96768.0,96768.0,0.0,0.0
8,98304.0,98304.0,0.0,0.0
9,99840.0,99840.0,0.0,0.0
10,101376.0,101376.0,0.0,0.0
11,102912.0,102912.0,0.0,0.0
12,104448.0,104448.0,0.0,0.0
13,105984.0,105984.0,0.0,0.0
14,107520.0,107520.0,0.0,0.0
15,109056.0,109056.0,0.000244140625,2.2382244946328456e-09
