label,relative_fraction,coefficient_value,input_path,growth,quasilinear_flux,nonlinear_window_heat_flux
m0p5,-0.5,0.06331225406918571,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p5,6.217248952486341e-15,6.333554795236426e-15,0.024693250468496523
m0p45,-0.45,0.06964347947610429,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p45,9.769962604680766e-15,1.0050462022671705e-14,0.025423854143044728
m0p4,-0.4,0.07597470488302285,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p4,8.812714359318801e-15,9.564141056651396e-15,0.02667276646481601
m0p35,-0.35,0.08230593028994143,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p35,1.0577517052349994e-14,1.1912687565939381e-14,0.027952460604008234
m0p3,-0.3,0.08863715569686,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p3,8.881784220278105e-15,9.465697164768855e-15,0.02642268244005639
m0p25,-0.25,0.09496838110377856,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p25,8.87401570058009e-15,1.0101139471604807e-14,0.028315033655602163
m0p2,-0.2,0.10129960651069714,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p2,7.105427357600977e-15,8.239600220802927e-15,0.028723009610072084
m0p15,-0.15,0.1076308319176157,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p15,7.552510182894799e-15,8.65818640809555e-15,0.028006649880522004
m0p1,-0.1,0.11396205732453428,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p1,9.76996261670133e-15,1.1476793476901907e-14,0.028850281178742748
m0p05,-0.05,0.12029328273145284,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_m0p05,5.558428926075767e-15,6.660991925388952e-15,0.029632234245222457
0,0.0,0.12662450813837142,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_0,8.04998429027034e-15,9.19983671388268e-15,0.028110310447400207
p0p05,0.05,0.13295573354529,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p05,6.217250547700808e-15,7.414866298175543e-15,0.029414304608753047
p0p1,0.1,0.13928695895220858,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p1,6.2172229756450294e-15,7.364154703072933e-15,0.029204260116314634
p0p15,0.15,0.14561818435912713,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p15,5.889635546671537e-15,7.0640881178161304e-15,0.029681613157760113
p0p2,0.2,0.1519494097660457,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p2,6.960989925381928e-15,8.172941434905025e-15,0.028492316361085897
p0p25,0.25,0.15828063517296428,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p25,6.773165663733244e-15,8.100675532095555e-15,0.028702228645578098
p0p3,0.3,0.16461186057988286,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p3,7.137694040180618e-15,8.271067338106176e-15,0.026910464305685278
p0p35,0.35,0.17094308598680144,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p35,9.74678910863075e-15,1.0891989712229314e-14,0.025341232612887673
p0p4,0.4,0.17727431139372,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p4,7.0373872013269045e-15,8.016194178482646e-15,0.02543309225027711
p0p45,0.45,0.18360553680063857,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p45,8.881784763279468e-15,1.0776887796701532e-14,0.027170736306908274
p0p5,0.5,0.18993676220755712,tools_out/vmec_boundary_transport_landscape_rbc11_replot/inputs/input.rbc_1_1_p0p5,2.0043415169777665e-14,2.498028213790399e-14,0.026893532874508953
