label,relative_fraction,coefficient_value,input_path,growth,quasilinear_flux_absolute_growth_mixing_length,quasilinear_flux_lapillonne_2011,quasilinear_flux_linear_weight,quasilinear_flux_mixing_length,quasilinear_flux_shape_aware_power_law
m0p75,-0.75,0.031656127034592856,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p75,0.000993144991151871,0.003674003708200363,0.003674003708200363,1.2630572416367416,0.003674003708200363,1.301415644412736
m0p7,-0.7,0.037987352441511434,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p7,0.0009709076398181523,0.004259293116358383,0.004259293116358383,1.2505830044592705,0.004259293116358383,1.28875513956657
m0p65,-0.65,0.04431857784843,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p65,0.002017120157719241,0.012441804279466426,0.012441804279466426,1.2579002715801593,0.012441804279466426,1.296181955336438
m0p6,-0.6,0.05064980325534857,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p6,0.0014936450464151,0.008626474043715303,0.008626474043715303,1.2479170800532722,0.008626474043715303,1.2860491002869399
m0p55,-0.55,0.05698102866226713,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p55,0.000661770965123888,0.0022204431328622224,0.0022204431328622224,1.2039209047690058,0.0022204431328622224,1.24137497778536
m0p5,-0.5,0.06331225406918571,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p5,0.0009964343976027834,0.005559987908342155,0.005559987908342155,1.1766325406139888,0.005559987908342155,1.2136506421908335
m0p45,-0.45,0.06964347947610429,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p45,0.0017445614007757838,0.011335842247998489,0.011335842247998489,1.2525755865727883,0.011335842247998489,1.290777633785366
m0p4,-0.4,0.07597470488302285,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p4,0.0007992719654525291,0.003867000427468336,0.003867000427468336,1.2848555390487506,0.003867000427468336,1.3235338311441913
m0p35,-0.35,0.08230593028994143,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p35,0.00036324999420497145,0.001721375495376055,0.001721375495376055,1.316003379468946,0.001721375495376055,1.3551266621918572
m0p3,-0.3,0.08863715569686,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p3,0.00035977600813323385,0.0015413912910698577,0.0015413912910698577,1.2881145456779914,0.0015413912910698577,1.3268400585542846
m0p25,-0.25,0.09496838110377856,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p25,0.00045224089130219873,0.0020040425667256227,0.0020040425667256227,1.3110672253795992,0.0020040425667256227,1.3501209222093165
m0p2,-0.2,0.10129960651069714,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p2,0.00029434398108973834,0.001376731254302939,0.001376731254302939,1.3092844151359402,0.001376731254302939,1.348312893606461
m0p15,-0.15,0.1076308319176157,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p15,0.0005698955266109517,0.0036689857633075518,0.0036689857633075518,1.2704925411243473,0.0036689857633075518,1.3089608527134984
m0p1,-0.1,0.11396205732453428,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p1,0.0003351270591256402,0.002076875416909513,0.002076875416909513,1.2944020915203387,0.002076875416909513,1.333218266681435
m0p05,-0.05,0.12029328273145284,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_m0p05,0.0002630344386202458,0.0012789800961953367,0.0012789800961953367,1.3494569364616906,0.0012789800961953367,1.3890427523064424
0,0.0,0.12662450813837142,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_0,0.00032901121102689,0.0024377204608587795,0.0024377204608587795,1.3607083812623606,0.0024377204608587795,1.4004462693129638
p0p05,0.05,0.13295573354529,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p05,0.00023956061999930113,0.0017126669550800555,0.0017126669550800555,1.4069019921062087,0.0017126669550800555,1.4472463664978035
p0p1,0.1,0.13928695895220858,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p1,0.00031847627532501137,0.0023711488686465002,0.0023711488686465002,1.428521259669323,0.0023711488686465002,1.4691398756474823
p0p15,0.15,0.14561818435912713,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p15,0.0004998710619642414,0.0024149178395888294,0.0024149178395888294,1.513101337818716,0.0024149178395888294,1.554736998620037
p0p2,0.2,0.1519494097660457,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p2,0.0007155590250868938,0.005489956618270852,0.005489956618270852,1.5898524623916634,0.005489956618270852,1.6323386651547653
p0p25,0.25,0.15828063517296428,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p25,0.00021877935534762473,0.0005954131491888503,0.0005954131491888503,1.7133875650420602,0.0005954131491888503,1.7571114975502058
p0p3,0.3,0.16461186057988286,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p3,0.0007038494218809832,0.003183561668149664,0.003183561668149664,1.7563785070534466,0.003183561668149664,1.800498220044598
p0p35,0.35,0.17094308598680144,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p35,0.0034347937199041326,0.012697307067833804,0.012697307067833804,1.827868612948163,0.012697307067833804,1.8726096272707742
p0p4,0.4,0.17727431139372,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p4,0.0047690101274776445,0.022637717468361795,0.022637717468361795,1.7974227149853979,0.022637717468361795,1.8419045990364096
p0p45,0.45,0.18360553680063857,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p45,0.008139418375391234,0.051735774597309825,0.051735774597309825,1.704530623913089,0.051735774597309825,1.7481708628904153
p0p5,0.5,0.18993676220755712,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p5,0.008638442454644128,0.0326065247625171,0.0326065247625171,1.5205670069009938,0.0326065247625171,1.5622883291481466
p0p55,0.55,0.1962679876144757,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p55,0.030680728590203935,0.11002975166322806,0.11002975166322806,1.6901748691193386,0.11002975166322806,1.7336778540921396
p0p6,0.6,0.20259921302139428,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p6,0.029738143283634798,0.10748954849194513,0.10748954849194513,2.2293640028714132,0.10748954849194513,2.2768726850599013
p0p65,0.65,0.20893043842831283,tools_out/vmec_boundary_transport_landscape_rbc11_full_refresh/inputs/input.rbc_1_1_p0p65,0.34261092605373095,3.8840066160083815,3.8840066160083815,56.79307034066727,3.8840066160083815,56.84615760619877
