label,family,source_path,kx_target,kx_selected,tmax,n_time,Nm,Nl,mean_abs_error,max_abs_error,final_window_tmax,tail_mean,tail_std,tail_abs_max,reference_tail_std,tail_std_ratio,hermite_tail_last,laguerre_tail_last,free_energy_last_over_first
paper baseline,baseline,tools_out/zonal_response/closure_sweep_manifest/baseline_none/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,100.00150299072266,501,64,16,0.286130294779181,0.5737060646168773,100.00150299072266,0.2562031767422681,0.11307342474542706,0.48936533998146936,0.0276078500682809,4.095698305582256,0.3881202624591586,0.037685841473877275,1.9433482562090505
constant Hermite hypercollision nu_hyper_m=0.01,constant_hermite,tools_out/zonal_response/closure_sweep_manifest/const_nuhm_0p01/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,99.99961853027344,504,64,16,0.29436392229859837,0.5738288120000966,99.99961853027344,0.19986517971939333,0.11642500313737675,0.43140420635724264,0.02766970867178963,4.207670001819595,0.21826139388971744,0.02942049578138937,0.7204504831491223
constant Hermite hypercollision nu_hyper_m=0.03,constant_hermite,tools_out/zonal_response/closure_sweep_manifest/const_nuhm_0p03/w7x_test4_kx070.out.nc,0.07,0.07000000029802322,99.99961853027344,504,64,16,0.29050836289884296,0.5740115788217725,99.99961853027344,0.19448615405859596,0.1182886116751389,0.41554787478155386,0.02766970867178963,4.275021941078074,0.09625614058804802,0.016740469467441496,0.5695206643951247
kz Hermite hypercollision nu_hyper_m=0.01,kz_hermite,tools_out/zonal_response/closure_sweep_manifest/kz_nuhm_0p01/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,100.00150299072266,501,64,16,0.287875489581218,0.5737080796920578,100.00150299072266,0.2397214668620606,0.1140350667210544,0.4655318367772983,0.0276078500682809,4.13053049907972,0.33385655881990955,0.0409297877429541,1.3966411528164862
kz Hermite hypercollision nu_hyper_m=0.03,kz_hermite,tools_out/zonal_response/closure_sweep_manifest/kz_nuhm_0p03/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,100.00150299072266,501,64,16,0.2895834214729159,0.5737181550679601,100.00150299072266,0.2203543393871343,0.11575055691454034,0.43851889757654966,0.0276078500682809,4.192668267476865,0.2822195393567922,0.03916700730982285,1.007526971608248
constant mixed LM hypercollision nu_hyper_lm=0.01,constant_mixed_lm,tools_out/zonal_response/closure_sweep_manifest/const_nuhlm_0p01/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,100.00150299072266,501,64,16,0.27554187235143907,0.5744243381649451,100.00150299072266,0.21948946933862873,0.1170448374981855,0.4270681824868204,0.0276078500682809,4.2395491575296615,0.00015602049252875098,0.017101804664593937,0.4360469125448401
constant mixed LM hypercollision nu_hyper_lm=0.03,constant_mixed_lm,tools_out/zonal_response/closure_sweep_manifest/const_nuhlm_0p03/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,100.00150299072266,501,64,16,0.27554265813900514,0.5744223230897648,100.00150299072266,0.2194950836291664,0.11705807414445783,0.42707583977250607,0.0276078500682809,4.240028609795578,0.00015550741102682197,0.01700929173294541,0.4355027392147948
constant Laguerre hypercollision nu_hyper_l=0.01,constant_laguerre,tools_out/zonal_response/closure_sweep_manifest/const_nuhl_0p01/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,99.99961853027344,504,64,16,0.2757817845125134,0.574423028366078,99.99961853027344,0.2195114737108095,0.1169100269269288,0.42622890367416716,0.02766970867178963,4.225199054810549,0.0001581950744965329,0.0063781202363039306,0.4224731150435304
constant Laguerre hypercollision nu_hyper_l=0.03,constant_laguerre,tools_out/zonal_response/closure_sweep_manifest/const_nuhl_0p03/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,99.99961853027344,504,64,16,0.2760611996217122,0.5744269577626798,99.99961853027344,0.2186837390024521,0.11639847638002954,0.4252979389408039,0.02766970867178963,4.206711308771474,0.00015671737947222573,0.002710715556098369,0.41516997240974673
constant isotropic hypercollision nu_hyper=0.01,constant_isotropic,tools_out/zonal_response/closure_sweep_manifest/const_nuh_0p01/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,99.99961853027344,504,64,16,0.2755098232027844,0.5744214163059335,99.99961853027344,0.2203444552685246,0.11746905208757177,0.42737155205523564,0.02766970867178963,4.245402562092609,0.0001525888230101422,0.014235471624714951,0.4254370323740713
constant isotropic hypercollision nu_hyper=0.03,constant_isotropic,tools_out/zonal_response/closure_sweep_manifest/const_nuh_0p03/w7x_test4_kx070.out.nc,0.07,0.07000000774860382,99.99961853027344,504,64,16,0.27551948421261,0.5744207110296203,99.99961853027344,0.22032036072376507,0.11806669570871953,0.4280186430725544,0.02766970867178963,4.267001763885329,0.00014512617322513376,0.010306110785628788,0.4071304522783505
