panel,kx_rhoi,code,t_vti_over_a,response
a,0.05,stella,0.0,0.7803970223325062
a,0.05,stella,3.5,0.7803970223325062
a,0.05,stella,7.0,0.7803970223325062
a,0.05,stella,10.5,0.7803970223325062
a,0.05,stella,14.0,0.7779404466501241
a,0.05,stella,17.5,0.7005583126550868
a,0.05,stella,21.0,0.6690620347394541
a,0.05,stella,24.5,0.6612903225806452
a,0.05,stella,28.0,0.6604416873449133
a,0.05,stella,31.5,0.647075682382134
a,0.05,stella,35.0,0.6337096774193548
a,0.05,stella,38.5,0.6259305210918114
a,0.05,stella,42.0,0.6215086848635235
a,0.05,stella,45.5,0.5750794044665011
a,0.05,stella,49.0,0.5612555831265508
a,0.05,stella,52.5,0.5589330024813896
a,0.05,stella,56.0,0.5587543424317618
a,0.05,stella,59.5,0.557347394540943
a,0.05,stella,63.0,0.5570719602977667
a,0.05,stella,66.5,0.5536848635235732
a,0.05,stella,70.0,0.5354838709677419
a,0.05,stella,73.5,0.4581017369727048
a,0.05,stella,77.0,0.44305707196029775
a,0.05,stella,80.5,0.4431315136476427
a,0.05,stella,84.0,0.44540942928039706
a,0.05,stella,87.5,0.44540942928039706
a,0.05,stella,91.0,0.4441885856079405
a,0.05,stella,94.5,0.43664764267990075
a,0.05,stella,98.0,0.41054094292803955
a,0.05,stella,101.5,0.337379652605459
a,0.05,stella,105.0,0.33002481389578164
a,0.05,stella,108.5,0.3308362282878412
a,0.05,stella,112.0,0.33260049627791566
a,0.05,stella,115.5,0.3354143920595533
a,0.05,stella,119.0,0.3277468982630273
a,0.05,stella,122.5,0.27735732009925557
a,0.05,stella,126.0,0.22168238213399508
a,0.05,stella,129.5,0.22027543424317622
a,0.05,stella,133.0,0.22157816377171222
a,0.05,stella,136.5,0.22298511166253102
a,0.05,stella,140.0,0.22126550868486344
a,0.05,stella,143.5,0.21282382133995031
a,0.05,stella,147.0,0.19318610421836238
a,0.05,stella,150.5,0.1715980148883375
a,0.05,stella,154.0,0.1500694789081885
a,0.05,stella,157.5,0.13048387096774186
a,0.05,stella,161.0,0.11500744416873447
a,0.05,stella,164.5,0.10448138957816377
a,0.05,stella,168.0,0.09175186104218361
a,0.05,stella,171.5,0.07189081885856075
a,0.05,stella,175.0,0.049379652605458964
a,0.05,stella,178.5,0.028937965260545852
a,0.05,stella,182.0,0.011563275434243127
a,0.05,stella,185.5,-0.002000000000000116
a,0.05,stella,189.0,-0.010441687344913188
a,0.05,stella,192.5,-0.02428039702233256
a,0.05,stella,196.0,-0.04163275434243177
a,0.05,stella,199.5,-0.06150124069478893
a,0.05,stella,203.0,-0.08260545905707183
a,0.05,stella,206.5,-0.10146153846153848
a,0.05,stella,210.0,-0.11439205955334994
a,0.05,stella,213.5,-0.12185856079404474
a,0.05,stella,217.0,-0.13170719602977662
a,0.05,stella,220.5,-0.14506203473945414
a,0.05,stella,224.0,-0.15913151364764272
a,0.05,stella,227.5,-0.172940446650124
a,0.05,stella,231.0,-0.18560297766749378
a,0.05,stella,234.5,-0.20069230769230773
a,0.05,stella,238.0,-0.21313151364764268
a,0.05,stella,241.5,-0.2229801488833747
a,0.05,stella,245.0,-0.23282878411910676
a,0.05,stella,248.5,-0.24141935483870966
a,0.05,stella,252.0,-0.24905707196029775
a,0.05,stella,255.5,-0.25609181141439213
a,0.05,stella,259.0,-0.26312655086848646
a,0.05,stella,262.5,-0.2701612903225808
a,0.05,stella,266.0,-0.27719602977667507
a,0.05,stella,269.5,-0.2838362282878412
a,0.05,stella,273.0,-0.2894640198511165
a,0.05,stella,276.5,-0.2937444168734491
a,0.05,stella,280.0,-0.2979652605459058
a,0.05,stella,283.5,-0.30218610421836234
a,0.05,stella,287.0,-0.30640694789081885
