kx_target,kx_selected,t_reference,phi_zonal_real,response_normalized,initial_level,initial_normalization,source_path
0.05,0.05000000074505806,0.10000000149011612,2.820939747125582e-07,1.0,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,10.10000228881836,3.7712724609443735e-07,1.3368851514064206,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,20.100040435791016,3.4943577346839313e-07,1.238721152496977,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,30.100078582763672,3.295729921671871e-07,1.168309222141338,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,40.09996032714844,2.6379423776956286e-07,0.9351289336766516,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,50.09980773925781,1.8765710168792593e-07,0.6652290318470665,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,60.09965515136719,1.1206168718830842e-07,0.39724948858795917,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,70.09950256347656,9.075943639654463e-08,0.3217347569689309,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,80.09934997558594,7.663395681512604e-09,0.027166109057526946,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,90.09919738769531,-4.1443920995861266e-08,-0.1469153002579756,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,100.09904479980469,-4.057735392982721e-08,-0.1438433910939566,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,110.09889221191406,-1.1322285969878652e-07,-0.40136574988585216,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,120.09873962402344,-4.487623544484099e-08,-0.15908257342457588,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,130.09873962402344,7.876696303211511e-08,0.27922242264257974,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,140.09934997558594,-5.692685969010961e-08,-0.20180104785334627,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,150.09996032714844,-4.5662351401220676e-07,-1.618692900043281,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,160.10057067871094,-5.53861845106373e-07,-1.9633948072472474,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,170.10118103027344,-2.7329991494389635e-07,-0.9688257795026547,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,180.10179138183594,-2.0522322860292982e-07,-0.7274995107997029,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,190.10240173339844,-1.5156968895149377e-07,-0.5373021139708385,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,200.10301208496094,4.8979161098097407e-08,0.17362710829965475,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,210.10362243652344,2.6858939641281594e-07,0.9521273777169369,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,220.10423278808594,3.511844623627722e-07,1.2449201111814396,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,230.10484313964844,3.259457340518029e-07,1.1554508896686921,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,240.10545349121094,4.41475396505438e-07,1.564994066091921,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,250.10606384277344,3.5351235084913284e-07,1.2531722849073503,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,260.1066589355469,2.514134420047503e-07,0.8912400282952869,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,270.1072692871094,4.024576919322379e-07,1.4266795040281355,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,280.1078796386719,6.27331173263099e-07,2.2238375488250783,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,290.1084899902344,7.767586095964872e-07,2.7535455529951367,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,300.1091003417969,7.521104043039726e-07,2.666169687141816,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,310.1097106933594,1.523248641125631e-07,0.5399791479693095,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,320.1103210449219,-2.9569601733700565e-07,-1.0482181253190799,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
0.05,0.05000000074505806,330.1109313964844,-2.3485203363658682e-07,-0.8325311941734704,2.820939747125582e-07,line_first,tools_out/zonal_response/w7x_test4_line_gaussian_probe/w7x_test4_kx050.out.nc
